time,machine_id,cpu_util
2017-10-06 11:00:00,m16,50.655
2017-10-06 11:10:00,m16,50.62
2017-10-06 11:20:00,m16,50.1
2017-10-06 11:30:00,m16,49.86
2017-10-06 11:40:00,m16,40.4
2017-10-06 11:50:00,m16,40.733333333
2017-10-06 12:00:00,m16,49.025
2017-10-06 12:10:00,m16,49.55
2017-10-06 12:20:00,m16,49.408333333
2017-10-06 12:30:00,m16,50.366666667
2017-10-06 12:40:00,m16,40.6
2017-10-06 12:50:00,m16,49.1
2017-10-06 13:00:00,m16,49.73
2017-10-06 13:10:00,m16,49.341666667
2017-10-06 13:20:00,m16,50.148333333
2017-10-06 13:30:00,m16,44.62
2017-10-06 13:40:00,m16,49.316666667
2017-10-06 13:50:00,m16,49.025
2017-10-06 14:00:00,m16,40.35
2017-10-06 14:10:00,m16,40.56
2017-10-06 14:20:00,m16,40.36
2017-10-06 14:30:00,m16,49.79
2017-10-06 14:40:00,m16,50.52
2017-10-06 14:50:00,m16,42.833333333
2017-10-06 15:00:00,m16,49.48
2017-10-06 15:10:00,m16,49.846666667
2017-10-06 15:20:00,m16,49.825
2017-10-06 15:30:00,m16,51.5
2017-10-06 15:40:00,m16,48.58
2017-10-06 15:50:00,m16,45.4
2017-10-06 16:00:00,m16,50.185
2017-10-06 16:10:00,m16,50.216666667
2017-10-06 16:20:00,m16,48.926666667
2017-10-06 16:30:00,m16,49.88
2017-10-06 16:40:00,m16,39.825
2017-10-06 16:50:00,m16,50.2
2017-10-06 17:00:00,m16,50.551666667
2017-10-06 17:10:00,m16,49.293333333
2017-10-06 17:20:00,m16,49.745
2017-10-06 17:30:00,m16,40.308333333
2017-10-06 17:40:00,m16,49.325
2017-10-06 17:50:00,m16,49.5
2017-10-06 18:00:00,m16,44.25
2017-10-06 18:10:00,m16,49.845
2017-10-06 18:20:00,m16,49.748333333
2017-10-06 18:30:00,m16,45.795
2017-10-06 18:40:00,m16,44.966666667
2017-10-06 18:50:00,m16,48.98
2017-10-06 19:00:00,m16,49.8
2017-10-06 19:10:00,m16,50.0
2017-10-06 19:20:00,m16,49.84
2017-10-06 19:30:00,m16,46.483333333
2017-10-06 19:40:00,m16,44.886666667
2017-10-06 19:50:00,m16,49.6
2017-10-06 20:00:00,m16,49.97
2017-10-06 20:10:00,m16,40.095
2017-10-06 20:20:00,m16,49.8
2017-10-06 20:30:00,m16,48.68
2017-10-06 20:40:00,m16,49.58
2017-10-06 20:50:00,m16,48.7
2017-10-06 21:00:00,m16,48.526666667
2017-10-06 21:10:00,m16,46.475
2017-10-06 21:20:00,m16,43.675
2017-10-06 21:30:00,m16,40.57
2017-10-06 21:40:00,m16,40.216666667
2017-10-06 21:50:00,m16,50.025
2017-10-06 22:00:00,m16,45.246666667
2017-10-06 22:10:00,m16,50.686666667
2017-10-06 22:20:00,m16,40.33
2017-10-06 22:30:00,m16,40.833333333
2017-10-06 22:40:00,m16,40.105
2017-10-06 22:50:00,m16,50.675
2017-10-06 23:00:00,m16,50.48
2017-10-06 23:10:00,m16,49.455
2017-10-06 23:20:00,m16,40.97
2017-10-06 23:30:00,m16,51.406666667
2017-10-06 23:40:00,m16,50.8
2017-10-06 23:50:00,m16,38.321666667
2017-10-07 00:00:00,m16,39.8
2017-10-07 00:10:00,m16,39.11
